date,fajr,zuhr,asr,maghrib,isha
1,6:15,13:45,17:15,18:45,20:45
2,6:15,13:45,17:15,18:44,20:45
3,6:15,13:45,17:15,18:42,20:45
4,6:30,13:45,17:15,18:40,20:45
5,6:30,13:45,17:00,18:38,20:45
6,6:30,13:45,17:00,18:35,20:30
7,6:30,13:45,17:00,18:33,20:30
8,6:30,13:45,17:00,18:30,20:30
9,6:30,13:45,17:00,18:28,20:30
10,6:30,13:45,17:00,18:25,20:30
11,6:45,13:45,17:00,18:23,20:30
12,6:45,13:45,17:00,18:21,20:30
13,6:45,13:45,16:45,18:18,20:30
14,6:45,13:45,16:45,18:15,20:30
15,6:45,13:45,16:45,18:13,20:15
16,6:45,13:45,16:45,18:11,20:15
17,6:45,13:45,16:45,18:08,20:15
18,6:45,13:45,16:45,18:06,20:15
19,6:45,13:45,16:45,18:03,20:15
20,6:45,13:45,16:45,18:01,20:15
21,7:00,13:45,16:45,17:59,20:15
22,7:00,13:45,16:45,17:57,20:00
23,7:00,13:45,16:30,17:55,20:00
24,7:00,13:45,16:30,17:52,20:00
25,7:00,13:45,16:30,17:50,20:00
26,6:45,13:45,15:30,16:48,19:00
27,6:00,13:15,15:30,16:46,19:00
28,6:00,13:15,15:30,16:44,19:00
29,6:00,13:15,15:30,16:42,19:00
30,6:00,13:15,15:30,16:40,19:00
31,6:00,13:15,15:30,16:38,19:00
