Date,Fajr_Jamaat,Zuhr_Jamaat,Asr_Jamaat,Maghrib_Jamaat,Isha_Jamaat
1,7.00,13.15,14.00,15.55,19.00
2,7.00,13.15,14.00,15.55,19.00
3,7.00,13.15,13.59,15.54,19.00
4,7.00,13.15,13.59,15.54,19.00
5,7.00,13.15,13.59,15.54,19.00
6,7.00,13.15,13.58,15.53,19.00
7,7.00,13.15,13.58,15.53,19.00
8,7.00,13.15,13.57,15.52,19.00
9,7.00,13.15,13.57,15.52,19.00
10,7.00,13.15,13.57,15.50,19.00
11,7.00,13.15,13.56,15.51,19.00
12,7.00,13.15,13.56,15.51,19.00
13,7.00,13.15,13.56,15.51,19.00
14,7.00,13.15,13.56,15.52,19.00
15,7.00,13.15,13.57,15.52,19.00
16,7.00,13.15,13.57,15.53,19.00
17,7.00,13.15,13.58,15.53,19.00
18,7.00,13.15,13.58,15.54,19.00
19,7.00,13.15,13.59,15.54,19.00
20,7.00,13.15,13.59,15.55,19.00
21,7.00,13.15,14.00,15.55,19.00
22,7.15,13.15,14.01,15.56,19.00
23,7.15,13.15,14.01,15.57,19.00
24,7.15,13.15,14.02,15.57,19.00
25,7.15,13.15,14.02,15.58,19.00
26,7.15,13.15,14.03,15.58,19.00
27,7.15,13.15,14.04,15.59,19.00
28,7.15,13.15,14.05,15.59,19.00
29,7.15,13.15,14.05,16.00,19.00
30,7.15,13.15,14.06,16.00,19.00
31,7.15,13.15,14.06,16.01,19.00
