Date,Fajr,Zuhr,Asr,Maghrib,Isha
1,4.00,13.45,19.00,21.31,23.00
2,4.00,13.45,19.00,21.31,23.00
3,4.00,13.45,19.00,21.31,23.00
4,4.00,13.45,19.00,21.30,23.00
5,4.00,13.45,19.00,21.30,23.00
6,4.00,13.45,19.00,21.29,23.00
7,4.00,13.45,19.00,21.28,23.00
8,4.00,13.45,19.00,21.28,23.00
9,4.00,13.45,19.00,21.27,23.00
10,4.15,13.45,19.00,21.26,23.00
11,4.15,13.45,19.00,21.25,23.00
12,4.15,13.45,19.00,21.24,23.00
13,4.15,13.45,19.00,21.23,23.00
14,4.15,13.45,19.00,21.22,23.00
15,4.15,13.45,19.00,21.21,23.00
16,4.15,13.45,19.00,21.20,23.00
17,4.15,13.45,19.00,21.19,23.00
18,4.15,13.45,19.00,21.18,23.00
19,4.15,13.45,19.00,21.16,23.00
20,4.30,13.45,19.00,21.15,23.00
21,4.30,13.45,19.00,21.14,23.00
22,4.30,13.45,19.00,21.13,22.45
23,4.30,13.45,19.00,21.12,22.45
24,4.30,13.45,19.00,21.10,22.45
25,4.30,13.45,18.45,21.08,22.45
26,4.30,13.45,18.45,21.07,22.45
27,4.30,13.45,18.45,21.06,22.45
28,4.30,13.45,18.45,21.04,22.45
29,4.30,13.45,18.45,21.03,22.45
30,4.30,13.45,18.45,21.02,22.45
31,4.30,13.45,18.45,21.00,22.45
